1|les Escaldes
2|Andorra la Vella
3|Umm al Qaywayn
4|Ras al-Khaimah
5|Khawr Fakkān
6|Dubai
7|Dibba Al-Fujairah
8|Dibba Al-Hisn
9|Sharjah
10|Ar Ruways
11|Al Fujayrah
12|Al Ain
13|Ajman
14|Adh Dhayd
15|Abu Dhabi
16|Zaranj
17|Taloqan
18|Shīnḏanḏ
19|Shibirghān
20|Shahrak
21|Sar-e Pul
22|Sang-e Chārak
23|Aībak
24|Rustāq
25|Qarqīn
26|Qarāwul
27|Pul-e Khumrī
28|Paghmān
29|Nahrīn
30|Maymana
31|Mehtar Lām
32|Mazār-e Sharīf
33|Lashkar Gāh
34|Kushk
35|Kunduz
36|Khōst
37|Khulm
38|Khāsh
39|Khanabad
40|Karukh
41|Kandahār
42|Kabul
43|Jalālābād
44|Jabal os Saraj
45|Herāt
46|Ghormach
47|Ghazni
48|Gereshk
49|Gardez
50|Fayzabad
51|Farah
52|Kafir Qala
53|Charikar
54|Baraki Barak
55|Bāmyān
56|Balkh
57|Baghlān
58|Ārt Khwājah
59|Āsmār
60|Asadābād
61|Andkhōy
62|Bāzārak
63|Markaz-e Woluswalī-ye Āchīn
64|Saint John’s
65|The Valley
66|Sarandë
67|Kukës
68|Korçë
69|Gjirokastër
70|Elbasan
71|Burrel
72|Vlorë
73|Tirana
74|Shkodër
75|Patos Fshat
76|Lushnjë
77|Lezhë
78|Laç
79|Kuçovë
80|Krujë
81|Kavajë
82|Fier-Çifçi
83|Fier
84|Durrës
85|Berat
86|Kapan
87|Goris
88|Hats’avan
89|Artashat
90|Ararat
91|Yerevan
92|Ejmiatsin
93|Step’anavan
94|Spitak
95|Sevan
96|Masis
97|Vanadzor
98|Gavarr
99|Hrazdan
100|Armavir
1|les Escaldes
2|Andorra la Vella
3|Umm al Qaywayn
4|Ras al-Khaimah
5|Khawr Fakkān
6|Dubai
7|Dibba Al-Fujairah
8|Dibba Al-Hisn
9|Sharjah
10|Ar Ruways
11|Al Fujayrah
12|Al Ain
13|Ajman
14|Adh Dhayd
15|Abu Dhabi
16|Zaranj
17|Taloqan
18|Shīnḏanḏ
19|Shibirghān
20|Shahrak
21|Sar-e Pul
22|Sang-e Chārak
23|Aībak
24|Rustāq
25|Qarqīn
26|Qarāwul
27|Pul-e Khumrī
28|Paghmān
29|Nahrīn
30|Maymana
31|Mehtar Lām
32|Mazār-e Sharīf
33|Lashkar Gāh
34|Kushk
35|Kunduz
36|Khōst
37|Khulm
38|Khāsh
39|Khanabad
40|Karukh
41|Kandahār
42|Kabul
43|Jalālābād
44|Jabal os Saraj
45|Herāt
46|Ghormach
47|Ghazni
48|Gereshk
49|Gardez
50|Fayzabad
51|Farah
52|Kafir Qala
53|Charikar
54|Baraki Barak
55|Bāmyān
56|Balkh
57|Baghlān
58|Ārt Khwājah
59|Āsmār
60|Asadābād
61|Andkhōy
62|Bāzārak
63|Markaz-e Woluswalī-ye Āchīn
64|Saint John’s
65|The Valley
66|Sarandë
67|Kukës
68|Korçë
69|Gjirokastër
70|Elbasan
71|Burrel
72|Vlorë
73|Tirana
74|Shkodër
75|Patos Fshat
76|Lushnjë
77|Lezhë
78|Laç
79|Kuçovë
80|Krujë
81|Kavajë
82|Fier-Çifçi
83|Fier
84|Durrës
85|Berat
86|Kapan
87|Goris
88|Hats’avan
89|Artashat
90|Ararat
91|Yerevan
92|Ejmiatsin
93|Step’anavan
94|Spitak
95|Sevan
96|Masis
97|Vanadzor
98|Gavarr
99|Hrazdan
100|Armavir
1|les Escaldes
2|Andorra la Vella
3|Umm al Qaywayn
4|Ras al-Khaimah
5|Khawr Fakkān
6|Dubai
7|Dibba Al-Fujairah
8|Dibba Al-Hisn
9|Sharjah
10|Ar Ruways
11|Al Fujayrah
12|Al Ain
13|Ajman
14|Adh Dhayd
15|Abu Dhabi
16|Zaranj
17|Taloqan
18|Shīnḏanḏ
19|Shibirghān
20|Shahrak
21|Sar-e Pul
22|Sang-e Chārak
23|Aībak
24|Rustāq
25|Qarqīn
26|Qarāwul
27|Pul-e Khumrī
28|Paghmān
29|Nahrīn
30|Maymana
31|Mehtar Lām
32|Mazār-e Sharīf
33|Lashkar Gāh
34|Kushk
35|Kunduz
36|Khōst
37|Khulm
38|Khāsh
39|Khanabad
40|Karukh
41|Kandahār
42|Kabul
43|Jalālābād
44|Jabal os Saraj
45|Herāt
46|Ghormach
47|Ghazni
48|Gereshk
49|Gardez
50|Fayzabad
51|Farah
52|Kafir Qala
53|Charikar
54|Baraki Barak
55|Bāmyān
56|Balkh
57|Baghlān
58|Ārt Khwājah
59|Āsmār
60|Asadābād
61|Andkhōy
62|Bāzārak
63|Markaz-e Woluswalī-ye Āchīn
64|Saint John’s
65|The Valley
66|Sarandë
67|Kukës
68|Korçë
69|Gjirokastër
70|Elbasan
71|Burrel
72|Vlorë
73|Tirana
74|Shkodër
75|Patos Fshat
76|Lushnjë
77|Lezhë
78|Laç
79|Kuçovë
80|Krujë
81|Kavajë
82|Fier-Çifçi
83|Fier
84|Durrës
85|Berat
86|Kapan
87|Goris
88|Hats’avan
89|Artashat
90|Ararat
91|Yerevan
92|Ejmiatsin
93|Step’anavan
94|Spitak
95|Sevan
96|Masis
97|Vanadzor
98|Gavarr
99|Hrazdan
100|Armavir
1|les Escaldes
2|Andorra la Vella
3|Umm al Qaywayn
4|Ras al-Khaimah
5|Khawr Fakkān
6|Dubai
7|Dibba Al-Fujairah
8|Dibba Al-Hisn
9|Sharjah
10|Ar Ruways
11|Al Fujayrah
12|Al Ain
13|Ajman
14|Adh Dhayd
15|Abu Dhabi
16|Zaranj
17|Taloqan
18|Shīnḏanḏ
19|Shibirghān
20|Shahrak
21|Sar-e Pul
22|Sang-e Chārak
23|Aībak
24|Rustāq
25|Qarqīn
26|Qarāwul
27|Pul-e Khumrī
28|Paghmān
29|Nahrīn
30|Maymana
31|Mehtar Lām
32|Mazār-e Sharīf
33|Lashkar Gāh
34|Kushk
35|Kunduz
36|Khōst
37|Khulm
38|Khāsh
39|Khanabad
40|Karukh
41|Kandahār
42|Kabul
43|Jalālābād
44|Jabal os Saraj
45|Herāt
46|Ghormach
47|Ghazni
48|Gereshk
49|Gardez
50|Fayzabad
51|Farah
52|Kafir Qala
53|Charikar
54|Baraki Barak
55|Bāmyān
56|Balkh
57|Baghlān
58|Ārt Khwājah
59|Āsmār
60|Asadābād
61|Andkhōy
62|Bāzārak
63|Markaz-e Woluswalī-ye Āchīn
64|Saint John’s
65|The Valley
66|Sarandë
67|Kukës
68|Korçë
69|Gjirokastër
70|Elbasan
71|Burrel
72|Vlorë
73|Tirana
74|Shkodër
75|Patos Fshat
76|Lushnjë
77|Lezhë
78|Laç
79|Kuçovë
80|Krujë
81|Kavajë
82|Fier-Çifçi
83|Fier
84|Durrës
85|Berat
86|Kapan
87|Goris
88|Hats’avan
89|Artashat
90|Ararat
91|Yerevan
92|Ejmiatsin
93|Step’anavan
94|Spitak
95|Sevan
96|Masis
97|Vanadzor
98|Gavarr
99|Hrazdan
100|Armavir
1|les Escaldes
2|Andorra la Vella
3|Umm al Qaywayn
4|Ras al-Khaimah
5|Khawr Fakkān
6|Dubai
7|Dibba Al-Fujairah
8|Dibba Al-Hisn
9|Sharjah
10|Ar Ruways
11|Al Fujayrah
12|Al Ain
13|Ajman
14|Adh Dhayd
15|Abu Dhabi
16|Zaranj
17|Taloqan
18|Shīnḏanḏ
19|Shibirghān
20|Shahrak
21|Sar-e Pul
22|Sang-e Chārak
23|Aībak
24|Rustāq
25|Qarqīn
26|Qarāwul
27|Pul-e Khumrī
28|Paghmān
29|Nahrīn
30|Maymana
31|Mehtar Lām
32|Mazār-e Sharīf
33|Lashkar Gāh
34|Kushk
35|Kunduz
36|Khōst
37|Khulm
38|Khāsh
39|Khanabad
40|Karukh
41|Kandahār
42|Kabul
43|Jalālābād
44|Jabal os Saraj
45|Herāt
46|Ghormach
47|Ghazni
48|Gereshk
49|Gardez
50|Fayzabad
51|Farah
52|Kafir Qala
53|Charikar
54|Baraki Barak
55|Bāmyān
56|Balkh
57|Baghlān
58|Ārt Khwājah
59|Āsmār
60|Asadābād
61|Andkhōy
62|Bāzārak
63|Markaz-e Woluswalī-ye Āchīn
64|Saint John’s
65|The Valley
66|Sarandë
67|Kukës
68|Korçë
69|Gjirokastër
70|Elbasan
71|Burrel
72|Vlorë
73|Tirana
74|Shkodër
75|Patos Fshat
76|Lushnjë
77|Lezhë
78|Laç
79|Kuçovë
80|Krujë
81|Kavajë
82|Fier-Çifçi
83|Fier
84|Durrës
85|Berat
86|Kapan
87|Goris
88|Hats’avan
89|Artashat
90|Ararat
91|Yerevan
92|Ejmiatsin
93|Step’anavan
94|Spitak
95|Sevan
96|Masis
97|Vanadzor
98|Gavarr
99|Hrazdan
100|Armavir
